picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 9600
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
39237,17.00,STAYON
644,17.00,SWITCHON
3237,17.00,STAYON
5237,17.00,STAYON
7237,17.00,STAYON
9237,17.00,STAYON
11237,17.00,STAYON
13237,17.06,STAYON
15237,17.12,STAYON
17236,17.19,STAYON
19236,17.37,STAYON
21236,17.50,STAYON
23236,17.69,STAYON
25237,17.94,STAYON
27237,18.19,STAYON
29237,18.50,STAYON
31237,18.87,STAYON
33236,19.31,STAYON
35236,19.81,STAYON
37237,20.31,STAYON
39236,20.81,STAYON
41237,21.37,STAYON
43238,21.81,STAYON
45237,22.25,STAYON
47238,22.62,STAYON
49236,23.00,STAYON
51237,23.44,STAYON
53237,23.87,STAYON
55237,24.31,STAYON
57238,24.69,STAYON
59238,25.06,STAYON
61237,25.50,STAYON
63238,25.81,STAYON
65238,26.06,STAYON
67237,26.31,STAYON
69237,26.56,STAYON
71237,26.81,STAYON
73237,27.06,STAYON
75237,27.44,STAYON
77237,27.75,STAYON
79237,28.19,STAYON
81236,28.56,STAYON
83236,28.87,STAYON
85236,29.25,STAYON
87236,29.50,STAYON
89237,29.75,STAYON
91236,29.94,STAYON
93236,30.19,STAYON
95237,30.37,STAYON
97236,30.62,STAYON
99236,30.94,STAYON
101237,31.12,STAYON
103236,31.37,STAYON
105237,31.62,STAYON
107236,31.94,STAYON
109237,32.19,STAYON
111236,32.38,STAYON
113236,32.56,STAYON
115235,32.75,STAYON
117236,33.00,STAYON
119236,33.25,STAYON
121235,33.56,STAYON
123236,33.81,STAYON
125236,34.13,STAYON
127236,34.44,STAYON
129234,34.69,STAYON
131235,35.00,STAYON
133236,35.31,STAYON
135236,35.63,STAYON
137236,35.88,STAYON
