NOTE: Press Ctrl+A Ctrl+X to exit.
picocom -b 86400 /dev/ttyACM3
picocom v3.1

port is        : /dev/ttyACM3
flowcontrol    : none
baudrate is    : 86400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
644,54.81,STAYOFF
3243,55.06,STAYOFF
5242,55.25,STAYOFF
7242,55.38,STAYOFF
9242,55.56,STAYOFF
11243,55.69,STAYOFF
13242,55.81,STAYOFF
15242,56.00,STAYOFF
17243,56.13,STAYOFF
19243,56.25,STAYOFF
21243,56.38,STAYOFF
23242,56.56,STAYOFF
25243,56.69,STAYOFF
27241,56.88,STAYOFF
29242,56.94,STAYOFF
31241,57.00,STAYOFF
33242,57.13,STAYOFF
35240,57.19,STAYOFF
37241,57.25,STAYOFF
39240,57.38,STAYOFF
41241,57.44,STAYOFF
43240,57.50,STAYOFF
45241,57.56,STAYOFF
47242,57.63,STAYOFF
49241,57.69,STAYOFF
51241,57.75,STAYOFF
53240,57.81,STAYOFF
55241,57.88,STAYOFF
57242,57.94,STAYOFF
59241,57.94,STAYOFF
61242,58.00,STAYOFF
63241,58.06,STAYOFF
65242,58.13,STAYOFF
67243,58.19,STAYOFF
69241,58.25,STAYOFF
71242,58.31,STAYOFF
73242,58.31,STAYOFF
75241,58.38,STAYOFF
77242,58.44,STAYOFF
79242,58.44,STAYOFF
81241,58.50,STAYOFF
83241,58.56,STAYOFF
85241,58.63,STAYOFF
87240,58.69,STAYOFF
89241,58.75,STAYOFF
91241,58.81,STAYOFF
93241,58.88,STAYOFF
95241,58.94,STAYOFF
97242,59.00,STAYOFF
99241,59.06,STAYOFF
101240,59.13,STAYOFF
103241,59.13,STAYOFF
105242,59.19,STAYOFF
107242,59.25,STAYOFF
109242,59.25,STAYOFF
111241,59.31,STAYOFF
113242,59.31,STAYOFF
